no_pipeline,makespan,readtime,writetime
1,53.87140057801459,20.335309436650054,20.336091141364538
2,189.0746746741573,81.33655450082244,81.33812017333487
3,405.6098208539326,183.00373455693267,183.00608629699997
4,703.4768395235956,325.3368497392796,325.3399897843159
5,1082.675730325843,508.3358997917295,508.3398305341133
6,1543.2065015865173,732.0008891670567,732.0056124194602
7,2085.0691378292136,996.3318098708911,996.337327958322
8,2708.263641546067,1301.3286629526701,1301.334978593397
9,3412.790053483146,1646.9914694123947,1646.998584070751
10,4198.648279528091,2033.3201817287168,2033.328097799373
11,5065.838442314605,2460.3148605106207,2460.3235818039843
12,6014.360435730335,2927.9754547715984,2927.9849809587386
13,7044.2142968629205,3436.3019804554615,3436.3123164074605
14,8155.400022566291,3985.294437640867,3985.3055849254233
15,9347.917633786516,4574.952838900846,4574.964794885672
16,10621.767138552812,5205.277182471351,5205.2899560814585
17,11976.948433716854,5876.267422878235,5876.281010838616
18,13413.461738116852,6587.923665991149,6587.938072125706
19,14931.306764388757,7340.245768158416,7340.260996230353
20,16530.483837707867,8133.233891139577,8133.249946568276
21,18210.992715653934,8966.887917995318,8966.904797658613
22,19972.833303734824,9841.207800280685,9841.22550345414
23,21816.006117791,10756.19378956648,10756.212328224536
24,23740.51007422923,11711.845351454933,11711.864722774279
25,25746.34683646068,12708.163316478625,12708.18351998204
26,27833.514712651668,13745.146835026328,13745.167877625354
27,30002.016008973056,14822.797065360986,14822.818943612026
28,32251.84740248984,15941.112340298316,15941.135062191612
29,34583.01034890786,17100.093391636026,17100.116957271883
30,36995.50712555055,18299.741352726996,18299.765772823575
31,39489.33379737977,19540.054270883506,19540.079526496247
32,42064.493707002184,20821.033799260716,20821.059907741583
